selling_price,km_driven,car_age
450000,145500,7
700000,50000,3
550000,70000,8
500000,120000,7
360000,158000,9
650000,25000,4
550000,60000,5
480000,90000,6
530000,120000,8
600000,147000,5
700000,30000,2
561000,30000,5
755000,15000,3
420000,80000,7
680000,40000,4
620000,107000,4
625000,43000,4
415000,108000,9
811000,100000,3
757000,25000,2
711000,35000,4
450000,80000,7
509999,110000,7
511000,100000,7
450000,120000,8
649000,70000,5
500000,120000,6
525000,40000,5
600000,80000,5
650000,35500,3
650000,50000,7
650000,20000,4
470000,110000,6
480000,30000,6
480000,80000,8
605000,127000,4
520000,58000,8
600000,60000,6
660000,55000,5
700000,50000,4
550000,100000,8
750000,24000,2
680000,70000,3
525000,110000,8
650000,75000,4
520000,70000,6
610000,60000,6
651000,32500,4
490000,50000,7
680000,120000,3
570000,120000,4
635000,40000,4
480000,105000,8
409999,150000,7
500000,84000,7
700000,100000,3
420000,105000,8
650000,50000,5
470000,82000,8
550000,60000,5
699000,60000,4
415000,102996,8
530000,40000,8
625000,50000,6
550000,56000,8
800000,35000,3
438999,81000,7
480000,80000,8
550000,50000,6
550000,110000,6
550000,76000,5
694000,35000,2
450000,70000,7
700000,30000,2
580000,120000,7
750000,25000,3
600000,70000,7
675000,25000,2
625000,34000,4
430000,63000,8
620000,61000,4
700000,45000,3
605000,127000,4
500000,60000,7
754000,10000,2
725000,15000,3
631000,75000,5
530000,80000,7
675000,120000,5
745000,35000,4
669000,60000,4
600000,100000,6
740000,40000,4
440000,110000,6
409999,100000,8
465000,120000,7
470000,60000,7
755000,20000,4
434999,110000,7
700000,50000,3
615000,60000,6
605000,127000,4
520000,70000,6
525000,116000,8
700000,65000,4
625000,70000,4
650000,70000,4
395000,70000,8
465000,90000,7
360000,70000,8
600000,135000,6
720000,25000,3
390000,100000,8
530000,40000,8
580000,88000,7
420000,120000,7
445000,80000,7
459999,70000,7
600000,147000,5
420000,105000,8
434999,70195,7
470000,150000,8
765000,59000,3
770000,27000,2
800000,35700,2
750000,30000,4
370000,68000,9
600000,50000,6
625000,50000,6
